SOC,Entropy_Coeff_mV_per_K
0.000,0.3765
0.005,0.3828
0.010,0.3889
0.015,0.3948
0.020,0.4004
0.025,0.4058
0.030,0.4109
0.035,0.4156
0.040,0.4200
0.045,0.4241
0.050,0.4279
0.055,0.4313
0.060,0.4343
0.065,0.4369
0.070,0.4391
0.075,0.4410
0.080,0.4424
0.085,0.4434
0.090,0.4440
0.095,0.4441
0.100,0.4439
0.105,0.4431
0.110,0.4420
0.115,0.4404
0.120,0.4384
0.125,0.4359
0.130,0.4331
0.135,0.4298
0.140,0.4261
0.145,0.4219
0.150,0.4174
0.155,0.4125
0.160,0.4072
0.165,0.4015
0.170,0.3954
0.175,0.3890
0.180,0.3823
0.185,0.3752
0.190,0.3678
0.195,0.3602
0.200,0.3522
0.205,0.3440
0.210,0.3355
0.215,0.3268
0.220,0.3179
0.225,0.3088
0.230,0.2995
0.235,0.2901
0.240,0.2805
0.245,0.2707
0.250,0.2609
0.255,0.2510
0.260,0.2409
0.265,0.2309
0.270,0.2207
0.275,0.2106
0.280,0.2004
0.285,0.1902
0.290,0.1801
0.295,0.1700
0.300,0.1599
0.305,0.1499
0.310,0.1399
0.315,0.1301
0.320,0.1203
0.325,0.1107
0.330,0.1011
0.335,0.0918
0.340,0.0825
0.345,0.0734
0.350,0.0645
0.355,0.0557
0.360,0.0471
0.365,0.0387
0.370,0.0305
0.375,0.0225
0.380,0.0147
0.385,0.0071
0.390,-0.0003
0.395,-0.0074
0.400,-0.0144
0.405,-0.0211
0.410,-0.0275
0.415,-0.0337
0.420,-0.0397
0.425,-0.0455
0.430,-0.0509
0.435,-0.0562
0.440,-0.0612
0.445,-0.0660
0.450,-0.0705
0.455,-0.0747
0.460,-0.0788
0.465,-0.0825
0.470,-0.0861
0.475,-0.0894
0.480,-0.0925
0.485,-0.0953
0.490,-0.0979
0.495,-0.1003
0.500,-0.1024
0.505,-0.1044
0.510,-0.1061
0.515,-0.1077
0.520,-0.1090
0.525,-0.1101
0.530,-0.1111
0.535,-0.1119
0.540,-0.1125
0.545,-0.1129
0.550,-0.1132
0.555,-0.1133
0.560,-0.1133
0.565,-0.1131
0.570,-0.1128
0.575,-0.1124
0.580,-0.1119
0.585,-0.1113
0.590,-0.1106
0.595,-0.1099
0.600,-0.1090
0.605,-0.1081
0.610,-0.1071
0.615,-0.1061
0.620,-0.1050
0.625,-0.1039
0.630,-0.1028
0.635,-0.1017
0.640,-0.1005
0.645,-0.0994
0.650,-0.0983
0.655,-0.0971
0.660,-0.0961
0.665,-0.0950
0.670,-0.0940
0.675,-0.0930
0.680,-0.0921
0.685,-0.0913
0.690,-0.0905
0.695,-0.0898
0.700,-0.0891
0.705,-0.0886
0.710,-0.0881
0.715,-0.0877
0.720,-0.0874
0.725,-0.0872
0.730,-0.0871
0.735,-0.0871
0.740,-0.0872
0.745,-0.0875
0.750,-0.0878
0.755,-0.0883
0.760,-0.0888
0.765,-0.0895
0.770,-0.0903
0.775,-0.0912
0.780,-0.0923
0.785,-0.0934
0.790,-0.0947
0.795,-0.0961
0.800,-0.0977
0.805,-0.0993
0.810,-0.1011
0.815,-0.1030
0.820,-0.1050
0.825,-0.1071
0.830,-0.1094
0.835,-0.1117
0.840,-0.1142
0.845,-0.1168
0.850,-0.1195
0.855,-0.1224
0.860,-0.1253
0.865,-0.1284
0.870,-0.1316
0.875,-0.1349
0.880,-0.1383
0.885,-0.1418
0.890,-0.1454
0.895,-0.1491
0.900,-0.1529
0.905,-0.1569
0.910,-0.1609
0.915,-0.1651
0.920,-0.1693
0.925,-0.1737
0.930,-0.1781
0.935,-0.1827
0.940,-0.1873
0.945,-0.1921
0.950,-0.1970
0.955,-0.2019
0.960,-0.2070
0.965,-0.2121
0.970,-0.2174
0.975,-0.2228
0.980,-0.2282
0.985,-0.2338
0.990,-0.2394
0.995,-0.2452
1.000,-0.2510
